kodim_id,korem_id,kodam_id,kodam,korem,name,address,lat,lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
KODIM-001,KOREM-001,KODAM-01,Kodam I/Bukit Barisan,Berdiri Sendiri,Kodim 0201/Medan,"Jl. Pengadilan No. 8, Medan 20151",3.5880613,98.6728967,Medan Petisah,Kota Medan,3.5880613,98.6728967
KODIM-002,KOREM-002,KODAM-01,Kodam I/Bukit Barisan,Korem 022/Pantai Timur,Kodim 0203/Binjai,"Jl. Veteran No.100, Binjai 20714",3.6027793,98.4825962,Binjai Kota,Kota Binjai,3.6027793,98.4825962
KODIM-003,KOREM-002,KODAM-01,Kodam I/Bukit Barisan,Korem 022/Pantai Timur,Kodim 0204/Lubuk Pakam,"Jl. Besar Galang, Lubuk Pakam 20517",3.53977,98.8820337,Lubuk Pakam,Kabupaten Deli Serdang,3.53977,98.8820337
KODIM-004,KOREM-002,KODAM-01,Kodam I/Bukit Barisan,Korem 022/Pantai Timur,Kodim 0207/Simalungun,"Jl. Asahan Km. 6, Pematang Siantar 21151",2.9630722,99.1223471,Siantar,Kabupaten Simalungun,2.9630722,99.1223471
KODIM-005,KOREM-002,KODAM-01,Kodam I/Bukit Barisan,Korem 022/Pantai Timur,Kodim 0208/Asahan,"Jl. Sudirman, Kisaran 21216",2.991649,99.6124692,Kota Kisaran Timur,Kabupaten Asahan,2.991649,99.6124692
KODIM-006,KOREM-002,KODAM-01,Kodam I/Bukit Barisan,Korem 022/Pantai Timur,Kodim 0209/Labuhan Batu,"Jl. Pramuka 14, Rantau Prapat 21411",2.1156825,99.8229627,Rantau Utara,Kabupaten Labuhanbatu,2.1156825,99.8229627
KODIM-007,KOREM-003,KODAM-01,Kodam I/Bukit Barisan,Korem 023/Kawal Samudera,Kodim 0205/Tanah Karo,"Jl. Jamin Ginting, Kabanjahe 22151",3.1505505,98.5070789,Berastagi,Kabupaten Karo,3.1505505,98.5070789
KODIM-008,KOREM-003,KODAM-01,Kodam I/Bukit Barisan,Korem 023/Kawal Samudera,Kodim 0206/Dairi,"Jl. Sisingamangaraja No. 127, Sidikalang 22212",2.7490143,98.312163,Sidikalang,Kabupaten Dairi,2.7490143,98.312163
KODIM-009,KOREM-003,KODAM-01,Kodam I/Bukit Barisan,Korem 023/Kawal Samudera,Kodim 0210/Tarutung,"Jl. Suprapto, Tarutung 22411",2.0241321,98.9584609,Tarutung,Kabupaten Tapanuli Utara,2.0241321,98.9584609
KODIM-010,KOREM-003,KODAM-01,Kodam I/Bukit Barisan,Korem 023/Kawal Samudera,Kodim 0211/Sibolga,"Jl. Sisingamangaraja, Sibolga 22537",1.727273,98.8008753,Sibolga Selatan,Kota Sibolga,1.727273,98.8008753
