id,kodam,kodam_address,kodam_lat,kodam_lng,korem,korem_address,korem_lat,korem_lng,kodim,kodim_address,kodim_lat,kodim_lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
1,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Berdiri Sendiri,,,,Kodim 0201/Medan,"Jl. Pengadilan No. 8, Medan 20151",3.5880613,98.6728967,Medan Petisah,Kota Medan,3.5880613,98.6728967
2,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 022/Pantai Timur,"Jl. Asahan Km. 3,5, Pematang Siantar 21151",2.9663193,99.0932277,Kodim 0203/Binjai,"Jl. Veteran No.100, Binjai 20714",3.6027793,98.4825962,Binjai Kota,Kota Binjai,3.6027793,98.4825962
3,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 022/Pantai Timur,"Jl. Asahan Km. 3,5, Pematang Siantar 21151",2.9663193,99.0932277,Kodim 0204/Lubuk Pakam,"Jl. Besar Galang, Lubuk Pakam 20517",3.53977,98.8820337,Lubuk Pakam,Kabupaten Deli Serdang,3.53977,98.8820337
4,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 022/Pantai Timur,"Jl. Asahan Km. 3,5, Pematang Siantar 21151",2.9663193,99.0932277,Kodim 0207/Simalungun,"Jl. Asahan Km. 6, Pematang Siantar 21151",2.9630722,99.1223471,Siantar,Kabupaten Simalungun,2.9630722,99.1223471
5,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 022/Pantai Timur,"Jl. Asahan Km. 3,5, Pematang Siantar 21151",2.9663193,99.0932277,Kodim 0208/Asahan,"Jl. Sudirman, Kisaran 21216",2.991649,99.6124692,Kota Kisaran Timur,Kabupaten Asahan,2.991649,99.6124692
6,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 022/Pantai Timur,"Jl. Asahan Km. 3,5, Pematang Siantar 21151",2.9663193,99.0932277,Kodim 0209/Labuhan Batu,"Jl. Pramuka 14, Rantau Prapat 21411",2.1156825,99.8229627,Rantau Utara,Kabupaten Labuhanbatu,2.1156825,99.8229627
7,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0205/Tanah Karo,"Jl. Jamin Ginting, Kabanjahe 22151",3.1505505,98.5070789,Berastagi,Kabupaten Karo,3.1505505,98.5070789
8,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0206/Dairi,"Jl. Sisingamangaraja No. 127, Sidikalang 22212",2.7490143,98.312163,Sidikalang,Kabupaten Dairi,2.7490143,98.312163
9,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0210/Tarutung,"Jl. Suprapto, Tarutung 22411",2.0241321,98.9584609,Tarutung,Kabupaten Tapanuli Utara,2.0241321,98.9584609
10,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0211/Sibolga,"Jl. Sisingamangaraja, Sibolga 22537",1.727273,98.8008753,Sibolga Selatan,Kota Sibolga,1.727273,98.8008753
11,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0212/Padang Sidempuan,"Jl. Tapian Nauli, Padang Sidempuan 22727",1.3651669,99.2839327,Padangsidimpuan Selatan,Kota Padangsidimpuan,1.3651669,99.2839327
12,Kodam I/Bukit Barisan,"Jl. Gatot Subroto Km. 7,5, Medan 20122",3.5935496,98.6224806,Korem 023/Kawal Samudera,"Jl. Datuk Itam No. 1, Sibolga 22523",1.7377397,98.7809696,Kodim 0213/Gunung Sitoli,"Jl. Gunung Sitoli, Gunung Sitoli 22813",1.29071,97.6134,Gunungsitoli,Kota Gunungsitoli,1.29071,97.6134
13,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Berdiri Sendiri,,,,Kodim 0418/Palembang,"Makodim Kodim 0418/Palembang, Palembang",-2.9540978,104.7866913,Ilir Timur Dua,Kota Palembang,-2.9540978,104.7866913
14,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0401/Musi Banyuasin,"Jl. Wahid Udin, Sekayu 30711",-2.8916392,103.8418646,Sekayu,Kabupaten Musi Banyuasin,-2.8916392,103.8418646
15,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0402/Ogan Komering Ilir,"Jl. Kayu Agung 12, OKI 30651",-3.378367,104.8298987,Kayu Agung,Kabupaten Ogan Komering Ilir,-3.378367,104.8298987
