kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
110101,Bakongan,1101,Kabupaten Aceh Selatan,11,Aceh,376,2742,3118,67,3185
110102,Kluet Utara,1101,Kabupaten Aceh Selatan,11,Aceh,1517,12491,14019,504,14665
110103,Kluet Selatan,1101,Kabupaten Aceh Selatan,11,Aceh,910,7431,7930,465,8433
110104,Labuhanhaji,1101,Kabupaten Aceh Selatan,11,Aceh,639,7051,7689,143,7832
110105,Meukek,1101,Kabupaten Aceh Selatan,11,Aceh,779,11756,12535,624,13157
110106,Samadua,1101,Kabupaten Aceh Selatan,11,Aceh,679,9774,10453,170,10620
110107,Sawang,1101,Kabupaten Aceh Selatan,11,Aceh,520,9003,9523,289,9823
110108,Tapaktuan,1101,Kabupaten Aceh Selatan,11,Aceh,1669,11381,13252,166,13405
110109,Trumon,1101,Kabupaten Aceh Selatan,11,Aceh,629,2483,3112,79,3191
110110,Pasie Raja,1101,Kabupaten Aceh Selatan,11,Aceh,714,9001,9734,468,10243
110111,Labuhanhaji Timur,1101,Kabupaten Aceh Selatan,11,Aceh,280,5450,5730,209,5939
110112,Labuhanhaji Barat,1101,Kabupaten Aceh Selatan,11,Aceh,745,8980,9488,517,9774
110113,Kluet Tengah,1101,Kabupaten Aceh Selatan,11,Aceh,553,3783,4336,132,4539
110114,Kluet Timur,1101,Kabupaten Aceh Selatan,11,Aceh,701,5149,5851,272,6122
110115,Bakongan Timur,1101,Kabupaten Aceh Selatan,11,Aceh,362,3180,3550,115,3657
110116,Trumon Timur,1101,Kabupaten Aceh Selatan,11,Aceh,525,3972,4497,159,4656
110117,Kota Bahagia,1101,Kabupaten Aceh Selatan,11,Aceh,471,3438,3689,372,4061
110118,Trumon Tengah,1101,Kabupaten Aceh Selatan,11,Aceh,502,3186,3688,71,3759
110201,Lawe Alas,1102,Kabupaten Aceh Tenggara,11,Aceh,912,9413,9857,592,10646
110202,Lawe Sigala-Gala,1102,Kabupaten Aceh Tenggara,11,Aceh,6514,4631,11144,121,11255
110203,Bambel,1102,Kabupaten Aceh Tenggara,11,Aceh,1199,9861,11072,164,10624
110204,Babussalam,1102,Kabupaten Aceh Tenggara,11,Aceh,1543,10666,12079,248,12356
110205,Badar,1102,Kabupaten Aceh Tenggara,11,Aceh,1962,5859,7586,92,7075
110206,Babul Makmur,1102,Kabupaten Aceh Tenggara,11,Aceh,6477,1567,7882,80,8129
110207,Darul Hasanah,1102,Kabupaten Aceh Tenggara,11,Aceh,709,7828,8518,99,8619
110208,Lawe Bulan,1102,Kabupaten Aceh Tenggara,11,Aceh,1911,7264,8892,354,8998
110209,Bukit Tusam,1102,Kabupaten Aceh Tenggara,11,Aceh,923,5704,6627,104,6700
110210,Semadam,1102,Kabupaten Aceh Tenggara,11,Aceh,2510,4698,7207,72,7280
110211,Babul Rahmah,1102,Kabupaten Aceh Tenggara,11,Aceh,1828,3230,5049,32,5217
110212,Ketambe,1102,Kabupaten Aceh Tenggara,11,Aceh,1291,5207,6498,137,6469
110213,Deleng Pokhkisen,1102,Kabupaten Aceh Tenggara,11,Aceh,1864,2915,4786,96,4849
110214,Lawe Sumur,1102,Kabupaten Aceh Tenggara,11,Aceh,700,3936,4616,109,4830
110215,Tanoh Alas,1102,Kabupaten Aceh Tenggara,11,Aceh,434,2187,2726,42,2755
110216,Leuser,1102,Kabupaten Aceh Tenggara,11,Aceh,2433,1074,3512,83,3525
110301,Darul Aman,1103,Kabupaten Aceh Timur,11,Aceh,928,8446,9374,588,9962
110302,Julok,1103,Kabupaten Aceh Timur,11,Aceh,1131,10929,12060,577,12569
110303,Idi Rayeuk,1103,Kabupaten Aceh Timur,11,Aceh,1583,16621,17842,1087,18702
110304,Birem Bayeun,1103,Kabupaten Aceh Timur,11,Aceh,1374,12975,14400,312,14653
110305,Serbajadi,1103,Kabupaten Aceh Timur,11,Aceh,677,2910,3587,225,3812
110306,Nurussalam,1103,Kabupaten Aceh Timur,11,Aceh,720,7746,8566,384,9059
110307,Peureulak,1103,Kabupaten Aceh Timur,11,Aceh,829,6940,7771,350,8132
110308,Rantau Selamat,1103,Kabupaten Aceh Timur,11,Aceh,781,5256,6027,146,6212
110309,Simpang Ulim,1103,Kabupaten Aceh Timur,11,Aceh,828,8234,8905,529,9432
110310,Ranto Peureulak,1103,Kabupaten Aceh Timur,11,Aceh,1506,9829,11263,616,11773
110312,Madat,1103,Kabupaten Aceh Timur,11,Aceh,986,10331,11339,782,12088
110313,Indra Makmu,1103,Kabupaten Aceh Timur,11,Aceh,662,6586,7248,182,7432
110314,Idi Tunong,1103,Kabupaten Aceh Timur,11,Aceh,441,4719,5157,274,5431
110315,Banda Alam,1103,Kabupaten Aceh Timur,11,Aceh,326,3068,3247,160,3562
110316,Peudawa,1103,Kabupaten Aceh Timur,11,Aceh,605,5234,5834,317,6149
110317,Peureulak Timur,1103,Kabupaten Aceh Timur,11,Aceh,829,5555,6385,372,6806
110318,Peureulak Barat,1103,Kabupaten Aceh Timur,11,Aceh,605,6610,6936,715,7651
110319,Sungai Raya,1103,Kabupaten Aceh Timur,11,Aceh,620,4900,5524,239,5808
110320,Simpang Jernih,1103,Kabupaten Aceh Timur,11,Aceh,308,1587,1895,40,1935
110321,Darul Ihsan,1103,Kabupaten Aceh Timur,11,Aceh,375,3152,3349,365,3713
110322,Darul Falah,1103,Kabupaten Aceh Timur,11,Aceh,161,1659,1830,54,1884
110323,Idi Timur,1103,Kabupaten Aceh Timur,11,Aceh,280,2915,3195,194,3208
110324,Peunaron,1103,Kabupaten Aceh Timur,11,Aceh,1398,3339,4709,84,5003
110401,Linge,1104,Kabupaten Aceh Tengah,11,Aceh,3345,3109,6454,120,6570
110402,Silih Nara,1104,Kabupaten Aceh Tengah,11,Aceh,5780,8499,14160,375,14647
110403,Bebesen,1104,Kabupaten Aceh Tengah,11,Aceh,5487,15876,21047,676,21723
110407,Pegasing,1104,Kabupaten Aceh Tengah,11,Aceh,5377,6795,12707,276,12687
110408,Bintang,1104,Kabupaten Aceh Tengah,11,Aceh,3580,2759,6339,98,6438
110410,Ketol,1104,Kabupaten Aceh Tengah,11,Aceh,3377,5242,8623,213,8838
110411,Kebayakan,1104,Kabupaten Aceh Tengah,11,Aceh,2868,6861,9729,161,9891
110412,Kute Panang,1104,Kabupaten Aceh Tengah,11,Aceh,2006,2943,4949,116,5073
110413,Celala,1104,Kabupaten Aceh Tengah,11,Aceh,2760,3210,5969,167,6138
110417,Laut Tawar,1104,Kabupaten Aceh Tengah,11,Aceh,3056,7627,10683,181,10871
110418,Atu Lintang,1104,Kabupaten Aceh Tengah,11,Aceh,2196,1928,4124,119,4269
110419,Jagong Jeget,1104,Kabupaten Aceh Tengah,11,Aceh,2926,3268,6194,110,6308
110420,Bies,1104,Kabupaten Aceh Tengah,11,Aceh,1885,2990,4875,131,5006
110421,Rusip Antara,1104,Kabupaten Aceh Tengah,11,Aceh,2502,1996,4414,79,4741
110501,Johan Pahlawan,1105,Kabupaten Aceh Barat,11,Aceh,4231,28456,32362,1026,32496
110502,Kaway XVI,1105,Kabupaten Aceh Barat,11,Aceh,2075,10818,12893,437,13346
110503,Sungai Mas,1105,Kabupaten Aceh Barat,11,Aceh,252,2388,2523,182,2714
110504,Woyla,1105,Kabupaten Aceh Barat,11,Aceh,897,7778,8675,221,8896
110505,Samatiga,1105,Kabupaten Aceh Barat,11,Aceh,1620,8010,9624,193,9817
110506,Bubon,1105,Kabupaten Aceh Barat,11,Aceh,729,3407,4139,132,4248
110507,Arongan Lambalek,1105,Kabupaten Aceh Barat,11,Aceh,1012,5916,6928,214,7142
110508,Pante Ceureumen,1105,Kabupaten Aceh Barat,11,Aceh,1191,5823,7019,192,7169
110509,Meureubo,1105,Kabupaten Aceh Barat,11,Aceh,2120,13929,15853,624,16482
110510,Woyla Barat,1105,Kabupaten Aceh Barat,11,Aceh,649,4351,5000,126,5126
110511,Woyla Timur,1105,Kabupaten Aceh Barat,11,Aceh,490,2789,3280,106,3386
110512,Panton Reu,1105,Kabupaten Aceh Barat,11,Aceh,534,3520,4054,88,4142
110601,Lhoong,1106,Kabupaten Aceh Besar,11,Aceh,656,5370,6026,97,6123
