kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_anies,votes_prabowo,votes_ganjar,suara_sah,suara_tidak_sah,jumlah_tps,tps_dengan_data,tps_coverage_pct
110101,Bakongan,1101,Kabupaten Aceh Selatan,11,Aceh,2925,483,52,3460,48,15,15,100.0
110102,Kluet Utara,1101,Kabupaten Aceh Selatan,11,Aceh,13739,1884,157,15801,279,71,69,97.2
110103,Kluet Selatan,1101,Kabupaten Aceh Selatan,11,Aceh,7190,1621,211,8807,157,44,42,95.5
110104,Labuhanhaji,1101,Kabupaten Aceh Selatan,11,Aceh,6822,1075,204,7011,80,40,38,95.0
110105,Meukek,1101,Kabupaten Aceh Selatan,11,Aceh,9198,1034,131,8879,159,64,49,76.6
110106,Samadua,1101,Kabupaten Aceh Selatan,11,Aceh,8206,1502,146,8458,84,55,49,89.1
110107,Sawang,1101,Kabupaten Aceh Selatan,11,Aceh,6911,888,190,7076,124,45,35,77.8
110108,Tapaktuan,1101,Kabupaten Aceh Selatan,11,Aceh,9299,3798,358,13218,173,62,60,96.8
110109,Trumon,1101,Kabupaten Aceh Selatan,11,Aceh,2836,431,43,2864,40,19,17,89.5
110110,Pasie Raja,1101,Kabupaten Aceh Selatan,11,Aceh,7349,1040,87,7651,156,53,41,77.4
110111,Labuhanhaji Timur,1101,Kabupaten Aceh Selatan,11,Aceh,5429,578,106,5661,114,32,31,96.9
110112,Labuhanhaji Barat,1101,Kabupaten Aceh Selatan,11,Aceh,7617,768,156,6551,114,53,41,77.4
110113,Kluet Tengah,1101,Kabupaten Aceh Selatan,11,Aceh,3643,1044,72,3257,60,26,24,92.3
110114,Kluet Timur,1101,Kabupaten Aceh Selatan,11,Aceh,5065,1018,100,4593,80,33,29,87.9
110115,Bakongan Timur,1101,Kabupaten Aceh Selatan,11,Aceh,1204,173,11,1388,20,19,6,31.6
110116,Trumon Timur,1101,Kabupaten Aceh Selatan,11,Aceh,2730,1249,98,3458,52,24,18,75.0
110117,Kota Bahagia,1101,Kabupaten Aceh Selatan,11,Aceh,3495,441,49,3575,44,22,18,81.8
110118,Trumon Tengah,1101,Kabupaten Aceh Selatan,11,Aceh,2447,652,52,2731,31,20,14,70.0
110201,Lawe Alas,1102,Kabupaten Aceh Tenggara,11,Aceh,4472,1862,118,2516,25,55,34,61.8
110202,Lawe Sigala-Gala,1102,Kabupaten Aceh Tenggara,11,Aceh,2919,5431,986,7728,156,69,54,78.3
110203,Bambel,1102,Kabupaten Aceh Tenggara,11,Aceh,5014,2626,154,6851,113,62,39,62.9
110204,Babussalam,1102,Kabupaten Aceh Tenggara,11,Aceh,7440,7100,1199,11070,166,99,79,79.8
110205,Badar,1102,Kabupaten Aceh Tenggara,11,Aceh,2863,2951,392,4540,81,43,31,72.1
110206,Babul Makmur,1102,Kabupaten Aceh Tenggara,11,Aceh,1257,4338,1096,4597,86,49,39,79.6
