kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
110101,Bakongan,1101,Kabupaten Aceh Selatan,11,Aceh
110102,Kluet Utara,1101,Kabupaten Aceh Selatan,11,Aceh
110103,Kluet Selatan,1101,Kabupaten Aceh Selatan,11,Aceh
110104,Labuhanhaji,1101,Kabupaten Aceh Selatan,11,Aceh
110105,Meukek,1101,Kabupaten Aceh Selatan,11,Aceh
110106,Samadua,1101,Kabupaten Aceh Selatan,11,Aceh
110107,Sawang,1101,Kabupaten Aceh Selatan,11,Aceh
110108,Tapaktuan,1101,Kabupaten Aceh Selatan,11,Aceh
110109,Trumon,1101,Kabupaten Aceh Selatan,11,Aceh
110110,Pasie Raja,1101,Kabupaten Aceh Selatan,11,Aceh
110111,Labuhanhaji Timur,1101,Kabupaten Aceh Selatan,11,Aceh
110112,Labuhanhaji Barat,1101,Kabupaten Aceh Selatan,11,Aceh
110113,Kluet Tengah,1101,Kabupaten Aceh Selatan,11,Aceh
110114,Kluet Timur,1101,Kabupaten Aceh Selatan,11,Aceh
110115,Bakongan Timur,1101,Kabupaten Aceh Selatan,11,Aceh
110116,Trumon Timur,1101,Kabupaten Aceh Selatan,11,Aceh
110117,Kota Bahagia,1101,Kabupaten Aceh Selatan,11,Aceh
110118,Trumon Tengah,1101,Kabupaten Aceh Selatan,11,Aceh
110201,Lawe Alas,1102,Kabupaten Aceh Tenggara,11,Aceh
110202,Lawe Sigala-Gala,1102,Kabupaten Aceh Tenggara,11,Aceh
110203,Bambel,1102,Kabupaten Aceh Tenggara,11,Aceh
110204,Babussalam,1102,Kabupaten Aceh Tenggara,11,Aceh
110205,Badar,1102,Kabupaten Aceh Tenggara,11,Aceh
110206,Babul Makmur,1102,Kabupaten Aceh Tenggara,11,Aceh
110207,Darul Hasanah,1102,Kabupaten Aceh Tenggara,11,Aceh
110208,Lawe Bulan,1102,Kabupaten Aceh Tenggara,11,Aceh
110209,Bukit Tusam,1102,Kabupaten Aceh Tenggara,11,Aceh
110210,Semadam,1102,Kabupaten Aceh Tenggara,11,Aceh
110211,Babul Rahmah,1102,Kabupaten Aceh Tenggara,11,Aceh
110212,Ketambe,1102,Kabupaten Aceh Tenggara,11,Aceh
110213,Deleng Pokhkisen,1102,Kabupaten Aceh Tenggara,11,Aceh
110214,Lawe Sumur,1102,Kabupaten Aceh Tenggara,11,Aceh
110215,Tanoh Alas,1102,Kabupaten Aceh Tenggara,11,Aceh
110216,Leuser,1102,Kabupaten Aceh Tenggara,11,Aceh
110301,Darul Aman,1103,Kabupaten Aceh Timur,11,Aceh
110302,Julok,1103,Kabupaten Aceh Timur,11,Aceh
110303,Idi Rayeuk,1103,Kabupaten Aceh Timur,11,Aceh
110304,Birem Bayeun,1103,Kabupaten Aceh Timur,11,Aceh
110305,Serbajadi,1103,Kabupaten Aceh Timur,11,Aceh
110306,Nurussalam,1103,Kabupaten Aceh Timur,11,Aceh
110307,Peureulak,1103,Kabupaten Aceh Timur,11,Aceh
110308,Rantau Selamat,1103,Kabupaten Aceh Timur,11,Aceh
110309,Simpang Ulim,1103,Kabupaten Aceh Timur,11,Aceh
110310,Ranto Peureulak,1103,Kabupaten Aceh Timur,11,Aceh
110311,Pante Bidari,1103,Kabupaten Aceh Timur,11,Aceh
110312,Madat,1103,Kabupaten Aceh Timur,11,Aceh
110313,Indra Makmu,1103,Kabupaten Aceh Timur,11,Aceh
110314,Idi Tunong,1103,Kabupaten Aceh Timur,11,Aceh
110315,Banda Alam,1103,Kabupaten Aceh Timur,11,Aceh
110316,Peudawa,1103,Kabupaten Aceh Timur,11,Aceh
110317,Peureulak Timur,1103,Kabupaten Aceh Timur,11,Aceh
110318,Peureulak Barat,1103,Kabupaten Aceh Timur,11,Aceh
110319,Sungai Raya,1103,Kabupaten Aceh Timur,11,Aceh
110320,Simpang Jernih,1103,Kabupaten Aceh Timur,11,Aceh
110321,Darul Ihsan,1103,Kabupaten Aceh Timur,11,Aceh
110322,Darul Falah,1103,Kabupaten Aceh Timur,11,Aceh
110323,Idi Timur,1103,Kabupaten Aceh Timur,11,Aceh
110324,Peunaron,1103,Kabupaten Aceh Timur,11,Aceh
110401,Linge,1104,Kabupaten Aceh Tengah,11,Aceh
110402,Silih Nara,1104,Kabupaten Aceh Tengah,11,Aceh
110403,Bebesen,1104,Kabupaten Aceh Tengah,11,Aceh
110407,Pegasing,1104,Kabupaten Aceh Tengah,11,Aceh
110408,Bintang,1104,Kabupaten Aceh Tengah,11,Aceh
110410,Ketol,1104,Kabupaten Aceh Tengah,11,Aceh
110411,Kebayakan,1104,Kabupaten Aceh Tengah,11,Aceh
110412,Kute Panang,1104,Kabupaten Aceh Tengah,11,Aceh
110413,Celala,1104,Kabupaten Aceh Tengah,11,Aceh
110417,Laut Tawar,1104,Kabupaten Aceh Tengah,11,Aceh
110418,Atu Lintang,1104,Kabupaten Aceh Tengah,11,Aceh
110419,Jagong Jeget,1104,Kabupaten Aceh Tengah,11,Aceh
110420,Bies,1104,Kabupaten Aceh Tengah,11,Aceh
110421,Rusip Antara,1104,Kabupaten Aceh Tengah,11,Aceh
110501,Johan Pahlawan,1105,Kabupaten Aceh Barat,11,Aceh
110502,Kaway XVI,1105,Kabupaten Aceh Barat,11,Aceh
110503,Sungai Mas,1105,Kabupaten Aceh Barat,11,Aceh
110504,Woyla,1105,Kabupaten Aceh Barat,11,Aceh
110505,Samatiga,1105,Kabupaten Aceh Barat,11,Aceh
110506,Bubon,1105,Kabupaten Aceh Barat,11,Aceh
110507,Arongan Lambalek,1105,Kabupaten Aceh Barat,11,Aceh
110508,Pante Ceureumen,1105,Kabupaten Aceh Barat,11,Aceh
110509,Meureubo,1105,Kabupaten Aceh Barat,11,Aceh
110510,Woyla Barat,1105,Kabupaten Aceh Barat,11,Aceh
110511,Woyla Timur,1105,Kabupaten Aceh Barat,11,Aceh
110512,Panton Reu,1105,Kabupaten Aceh Barat,11,Aceh
110601,Lhoong,1106,Kabupaten Aceh Besar,11,Aceh
110602,Lhoknga,1106,Kabupaten Aceh Besar,11,Aceh
110603,Indrapuri,1106,Kabupaten Aceh Besar,11,Aceh
110604,Seulimeum,1106,Kabupaten Aceh Besar,11,Aceh
110605,Montasik,1106,Kabupaten Aceh Besar,11,Aceh
